PUF_ID,sample,fpl,FWBscore,FSscore,SUBKNOWL1,FINGOALS,SAVEHABIT,FRUGALITY,AUTOMATED_1,AUTOMATED_2,ASK1_1,ASK1_2,SUBNUMERACY2,SUBNUMERACY1,CHANGEABLE,GOALCONF,LMscore,KHscore,ENDSMEET,HOUSING,LIVINGARRANGEMENT,HOUSERANGES,IMPUTATION_FLAG,VALUERANGES,MORTGAGE,SAVINGSRANGES,PRODHAVE_1,PRODHAVE_2,PRODHAVE_3,PRODHAVE_4,PRODHAVE_5,PRODHAVE_6,PRODHAVE_7,PRODHAVE_8,PRODHAVE_9,PRODUSE_1,PRODUSE_2,PRODUSE_3,PRODUSE_4,PRODUSE_5,PRODUSE_6,CONSPROTECT1,CONSPROTECT2,CONSPROTECT3,EARNERS,VOLATILITY,SNAP,COLLECT,REJECTED_1,REJECTED_2,ABSORBSHOCK,BENEFITS_1,BENEFITS_2,BENEFITS_3,BENEFITS_4,BENEFITS_5,FRAUD2,COVERCOSTS,BORROW_1,BORROW_2,SHOCKS_1,SHOCKS_2,SHOCKS_3,SHOCKS_4,SHOCKS_5,SHOCKS_6,SHOCKS_7,SHOCKS_8,SHOCKS_9,SHOCKS_10,SHOCKS_11,SHOCKS_12,MANAGE2,PAIDHELP,HSLOC,PAREDUC,ON2correct,ON1correct,CONNECT,HEALTH,SCFHORIZON,DISCOUNT,MEMLOSS,DISTRESS,INTERCONNECTIONS_1,INTERCONNECTIONS_2,INTERCONNECTIONS_3,INTERCONNECTIONS_4,INTERCONNECTIONS_5,INTERCONNECTIONS_6,INTERCONNECTIONS_7,INTERCONNECTIONS_8,INTERCONNECTIONS_9,INTERCONNECTIONS_10,PEM,HOUSESAT,SOCSEC1,LIFEEXPECT,HHEDUC,EMPLOY1_1,EMPLOY1_2,EMPLOY1_3,EMPLOY1_4,EMPLOY1_5,EMPLOY1_6,EMPLOY1_7,EMPLOY1_8,RETIRE,MILITARY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,PPREG9,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PCTLT200FPL,finalwt,SWB,ACT,PROPPLAN,MANAGE,MATHARDSHIP,FINSOC,MATERIALISM,SELFCONTROL,OUTLOOK
10350,2,3,55.0,44.0,5.0,1.0,4.0,6.0,0.0,0.0,4.0,3.0,3.0,3.0,4.0,3.0,3,1.267,2.0,1.0,1.0,4.0,0,2.0,2.0,6.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0,3.0,0.0,1.0,4.0,1,0,80.0,2.0,3.0,1,0.0,4.0,0,0,0,0,1,0,1,1,0,0,3.0,4.0,1.0,1.0,4.0,0,0,0,0,0,0,0,1,1.0,0.0,8,1,4,1,0,1,7,3,1,4,8,0,0,0,0,1,0.0,0.367291877597199,5.0,4.0,4.0,4.0,1.0,6.0,4.0,3.0,2.0
7740,1,3,51.0,43.0,5.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,5.0,5.0,2.0,3.0,3,-0.57,2.0,1.0,2.0,4.0,0,2.0,2.0,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,2.0,1,1,95.0,3.0,3.0,0,0.0,3.0,0,1,0,0,0,0,0,0,0,0,4.0,3.0,0.0,90.0,2.0,0,1,0,0,0,0,0,0,4.0,0.0,3,3,2,1,0,2,6,3,1,2,3,0,0,0,0,2,0.0,1.32756071178087,6.0,4.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0
13699,1,3,49.0,42.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,6.0,3.0,3,-0.188,1.0,1.0,2.0,3.0,0,3.0,2.0,4.0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,1.0,3.0,0,1,50.0,3.0,4.0,1,0.0,2.0,0,1,0,0,0,0,0,0,0,0,6.0,3.0,0.0,78.0,3.0,0,1,0,0,0,0,0,0,4.0,0.0,3,3,3,2,0,3,6,3,1,4,9,0,0,0,1,2,1.0,0.835155811914691,4.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0
7375,1,3,49.0,42.0,4.0,1.0,4.0,4.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,3.0,1,-1.9,2.0,2.0,3.0,2.0,0,0.0,0.0,4.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,1.0,1.0,2.0,1,1,0.0,3.0,3.0,1,1.0,3.0,0,0,0,0,0,0,0,1,0,0,4.0,3.0,0.0,75.0,2.0,0,1,0,1,0,0,0,0,4.0,0.0,2,4,2,3,0,5,7,1,1,2,4,0,0,1,0,4,1.0,4.26066814335885,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0
10910,1,3,67.0,57.0,6.0,1.0,4.0,5.0,1.0,1.0,5.0,3.0,5.0,6.0,1.0,4.0,3,0.242,1.0,1.0,2.0,4.0,0,1.0,2.0,5.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.0,1.0,4.0,1,0,80.0,5.0,1.0,0,0.0,4.0,0,1,0,0,0,1,0,0,0,0,7.0,4.0,0.0,10.0,4.0,0,1,0,0,0,0,0,0,4.0,1.0,2,4,4,1,0,2,7,1,1,2,3,0,0,0,0,2,0.0,0.760060876128717,6.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,4.0
11079,1,3,51.0,54.0,5.0,1.0,5.0,4.0,0.0,1.0,5.0,4.0,6.0,3.0,4.0,3.0,3,1.267,2.0,1.0,2.0,4.0,0,2.0,2.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,1.0,5.0,0,1,70.0,3.0,3.0,1,0.0,4.0,0,1,0,0,0,0,0,0,0,0,5.0,2.0,0.0,70.0,4.0,0,0,0,1,0,0,0,0,4.0,0.0,3,3,4,4,1,5,7,1,1,2,4,0,0,1,1,3,0.0,1.37052173967805,5.0,4.0,3.0,4.0,1.0,5.0,2.0,2.0,3.0
7741,1,3,47.0,35.0,4.0,0.0,2.0,5.0,7.0,7.0,3.0,1.0,3.0,3.0,4.0,2.0,3,-0.909,2.0,3.0,3.0,1.0,0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,1.0,0.0,1.0,2.0,1,0,50.0,2.0,2.0,0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,2.0,0,0,0,0,0,0,1,0,4.0,0.0,2,4,1,1,1,3,4,4,1,2,4,0,0,0,0,3,0.0,1.19336506580727,2.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0
8303,1,3,43.0,58.0,4.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,4.0,5.0,5.0,3.0,2,-0.188,1.0,1.0,3.0,5.0,0,2.0,2.0,5.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,2.0,0,0,1.0,4.0,3.0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,5.0,4.0,0.0,50.0,2.0,0,0,0,1,0,0,0,0,4.0,0.0,3,3,1,3,1,4,7,1,1,3,7,0,0,0,1,3,0.0,2.49783836057458,7.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0
9688,1,3,58.0,42.0,4.0,1.0,5.0,5.0,0.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,3,-0.57,1.0,1.0,2.0,5.0,0,1.0,2.0,7.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,1.0,2.0,1,1,100.0,3.0,4.0,1,0.0,4.0,0,0,0,0,0,0,0,1,0,0,6.0,2.0,0.0,100.0,2.0,0,1,1,0,0,0,0,0,4.0,0.0,4,3,2,1,0,3,8,1,1,1,2,0,0,0,0,3,0.0,1.26660232912984,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0
13180,1,3,78.0,66.0,5.0,1.0,6.0,6.0,7.0,1.0,4.0,3.0,6.0,6.0,3.0,4.0,2,-0.188,1.0,2.0,2.0,3.0,0,0.0,0.0,6.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,1.0,5.0,1,1,50.0,5.0,5.0,1,0.0,2.0,1,0,1,0,0,0,0,0,0,0,6.0,4.0,0.0,100.0,3.0,0,0,0,0,1,0,0,0,4.0,0.0,1,4,3,1,0,5,6,1,1,4,8,0,0,0,1,3,0.0,0.9379121198635552,7.0,5.0,5.0,4.0,1.0,7.0,3.0,3.0,4.0
