,Train Accuracy,Train F1,Train Precision,Train Recall,Val Accuracy,Val F1,Val Precision,Val Recall,Train Accuracy Stdev,Train Accuracy Median,Train Accuracy Mean,Train F1 Stdev,Train F1 Median,Train F1 Mean,Train Precision Stdev,Train Precision Median,Train Precision Mean,Train Recall Stdev,Train Recall Median,Train Recall Mean,Val Accuracy Stdev,Val Accuracy Median,Val Accuracy Mean,Val F1 Stdev,Val F1 Median,Val F1 Mean,Val Precision Stdev,Val Precision Median,Val Precision Mean,Val Recall Stdev,Val Recall Median,Val Recall Mean
Logistic Regression 1 FEAT SEL,"[0.9279707495429617, 0.9257769652650822, 0.9230347349177331, 0.9281535648994516, 0.9279707495429617, 0.926873857404022, 0.9228519195612431, 0.9288848263254114, 0.9305428623651983, 0.9252421860720161]","[0.9326306343031668, 0.9305854972754014, 0.928389537669143, 0.9328121221948552, 0.9326234681950313, 0.9315652907584079, 0.9282454599145198, 0.9333379914080737, 0.9347940462436409, 0.9301214432542231]","[0.9433626259351803, 0.9414228013427511, 0.9409140897380234, 0.9436179936638852, 0.9432924574375317, 0.9420735327138617, 0.9409299851042492, 0.9434141440511045, 0.9443744986785408, 0.94108387685506]","[0.9279707495429617, 0.9257769652650822, 0.9230347349177331, 0.9281535648994516, 0.9279707495429617, 0.926873857404022, 0.9228519195612431, 0.9288848263254114, 0.9305428623651983, 0.9252421860720161]","[0.9161184210526315, 0.9259868421052632, 0.8914473684210527, 0.9194078947368421, 0.8914473684210527, 0.90625, 0.9013157894736842, 0.9144736842105263, 0.9308072487644151, 0.9060955518945635]","[0.9209105130574943, 0.9307832143504235, 0.8997196939717715, 0.925195013805395, 0.8998919036188016, 0.9129693705671105, 0.908283216892153, 0.9191270734401794, 0.9346404480009688, 0.9132296273901432]","[0.9317095482409423, 0.9414053202798979, 0.9150966905901117, 0.9384864187495767, 0.9157692108712148, 0.9272692909365815, 0.9210634759976866, 0.9274367035400796, 0.942566898340567, 0.9293900256327849]","[0.9161184210526315, 0.9259868421052632, 0.8914473684210527, 0.9194078947368421, 0.8914473684210527, 0.90625, 0.9013157894736842, 0.9144736842105263, 0.9308072487644151, 0.9060955518945635]",0.0023690441862761844,0.9274223034734919,0.9267302415896082,0.0020371063667893085,0.9320943794767196,0.9315105491216462,0.0012358277356981228,0.9426829950756968,0.9424486005520187,0.0023690441862761844,0.9274223034734919,0.9267302415896082,0.012753347689177219,0.9103618421052632,0.9103350169080031,0.011327492955750864,0.9161783504151613,0.9164750075094441,0.009339262942986978,0.9284133645864323,0.9290193583179442,0.012753347689177219,0.9103618421052632,0.9103350169080031
Logistic Regression 2 FEAT SEL,"[0.8091407678244973, 0.7692870201096892, 0.8914076782449726, 0.8606946983546618, 0.8974405850091408, 0.8385740402193784, 0.8957952468007313, 0.9, 0.8881374520197405, 0.8618168524949735]","[0.8350662856367826, 0.8034387065103173, 0.8876830226764859, 0.8758351526429318, 0.8995942686536437, 0.8569237409014742, 0.9020374579781941, 0.8962627229750455, 0.8948796079023472, 0.8749076364520679]","[0.9093757152695779, 0.9005474692466571, 0.8957226698514955, 0.910553064346805, 0.9084529467787277, 0.8952273927136861, 0.9249530627729274, 0.8938454030261092, 0.9057341943445676, 0.9002108904756597]","[0.8091407678244973, 0.7692870201096892, 0.8914076782449726, 0.8606946983546618, 0.8974405850091408, 0.8385740402193784, 0.8957952468007313, 0.9, 0.8881374520197405, 0.8618168524949735]","[0.8240131578947368, 0.756578947368421, 0.868421052631579, 0.8634868421052632, 0.875, 0.8256578947368421, 0.8782894736842105, 0.8947368421052632, 0.8846787479406919, 0.8270181219110379]","[0.8452818545722378, 0.7944451059776138, 0.8640834151181623, 0.8782689826788982, 0.8795562445686991, 0.8461415661725078, 0.8840783461548017, 0.889313333726253, 0.8897738729931148, 0.8451200953465136]","[0.9130087789305668, 0.9000420875420876, 0.8709854373389384, 0.9124950534230313, 0.8890950980799602, 0.8905725083986562, 0.9099751839400636, 0.8872274331071687, 0.8969427602837478, 0.8771944784483472]","[0.8240131578947368, 0.756578947368421, 0.868421052631579, 0.8634868421052632, 0.875, 0.8256578947368421, 0.8782894736842105, 0.8947368421052632, 0.8846787479406919, 0.8270181219110379]",0.041622712556218744,0.8749771522573571,0.8612294341077785,0.030549334930923402,0.8817590876597088,0.872662860232929,0.008980183337400886,0.9031408317956123,0.9044622808826214,0.041622712556218744,0.8749771522573571,0.8612294341077785,0.03958988491539336,0.865953947368421,0.8497881080378045,0.028213707280796054,0.8711761988985303,0.8616062817308803,0.013754488476253383,0.8937576343412019,0.8947538819492568,0.03958988491539336,0.865953947368421,0.8497881080378045
Decision Tree 1 FEAT SEL,"[0.7725776965265082, 0.9239488117001828, 0.7341864716636197, 0.76672760511883, 0.739670932358318, 0.6996343692870202, 0.7782449725776965, 0.7925045703839122, 0.8221531712666789, 0.8320233960884664]","[0.7976636023756377, 0.9286200434329551, 0.7660621418879628, 0.7944637908654164, 0.7696155402126709, 0.738109174148861, 0.8012394818511551, 0.816036110905043, 0.8415770013888629, 0.8500037624628995]","[0.8657724124114882, 0.9399798256520155, 0.8612422963278511, 0.8685413308827113, 0.8496108234834829, 0.8461687924336448, 0.8603674265963311, 0.8827552207919758, 0.8905058221268108, 0.894312762522948]","[0.7725776965265082, 0.9239488117001828, 0.7341864716636197, 0.76672760511883, 0.739670932358318, 0.6996343692870202, 0.7782449725776965, 0.7925045703839122, 0.8221531712666789, 0.8320233960884664]","[0.6661184210526315, 0.868421052631579, 0.6398026315789473, 0.6842105263157895, 0.6414473684210527, 0.6085526315789473, 0.6990131578947368, 0.7220394736842105, 0.7364085667215815, 0.7215815485996705]","[0.703596767015377, 0.8765543988732728, 0.689398447317727, 0.720503626520457, 0.6867265130145507, 0.6637535924731431, 0.7304978283516178, 0.7586978801463795, 0.7699284156244561, 0.752758521984504]","[0.771706576478136, 0.8895556441609072, 0.7976223804191329, 0.7866502180596244, 0.7678881988508318, 0.7769321132140575, 0.7786729633643847, 0.8273891919621811, 0.8329271316396265, 0.8099953261198244]","[0.6661184210526315, 0.868421052631579, 0.6398026315789473, 0.6842105263157895, 0.6414473684210527, 0.6085526315789473, 0.6990131578947368, 0.7220394736842105, 0.7364085667215815, 0.7215815485996705]",0.05949695756012439,0.7754113345521023,0.7861671996971233,0.05089542779520848,0.7994515421133964,0.8103390649531464,0.026255407141291192,0.8671568716470998,0.875925671322926,0.05949695756012439,0.7754113345521023,0.7861671996971233,0.06887695305854188,0.6916118421052632,0.6987595378479147,0.05730311698089025,0.7255007274360374,0.7352415991321484,0.035780228429319126,0.7921362992393787,0.8039339744268708,0.06887695305854188,0.6916118421052632,0.6987595378479147
Decision Tree 2 FEAT SEL,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8569078947368421, 0.8486842105263158, 0.8125, 0.8355263157894737, 0.819078947368421, 0.8174342105263158, 0.7894736842105263, 0.7894736842105263, 0.8023064250411862, 0.8220757825370676]","[0.8563849784034554, 0.8505796310563841, 0.8093197551974336, 0.834433019622573, 0.8153668693168614, 0.8190323688642516, 0.7917309206653261, 0.7880059574469667, 0.7988622657283077, 0.8218262231992648]","[0.857709355486173, 0.853040337811245, 0.8066572332793901, 0.8348639868122265, 0.812243124926363, 0.8207215945944139, 0.7942398676743396, 0.7880546054987092, 0.7957878247636152, 0.8217491377818475]","[0.8569078947368421, 0.8486842105263158, 0.8125, 0.8355263157894737, 0.819078947368421, 0.8174342105263158, 0.7894736842105263, 0.7894736842105263, 0.8023064250411862, 0.8220757825370676]",0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.02160215834783703,0.8182565789473684,0.8193461154946675,0.022035783360808612,0.8171996190905565,0.8185541989500823,0.0228569443873102,0.8164823597603884,0.8185067068628322,0.02160215834783703,0.8182565789473684,0.8193461154946675
Decision Tree 3 FEAT SEL,"[0.8297989031078611, 0.8985374771480804, 0.9001828153564899, 0.8193784277879342, 0.8992687385740402, 0.843144424131627, 0.7731261425959781, 0.9480804387568555, 0.8292816669713032, 0.7519649058673004]","[0.8488354420569848, 0.9055471219904337, 0.908070157652598, 0.8432158294101122, 0.9083721429667918, 0.8620506373614748, 0.8066863245923362, 0.9494448023794237, 0.8512985388369848, 0.7883739294519181]","[0.8917132002180473, 0.9192539541976645, 0.9252592889438361, 0.9005947615997216, 0.9303867829570152, 0.909302683595277, 0.899121625674362, 0.9526379421470443, 0.9052038292969026, 0.8777385471420814]","[0.8297989031078611, 0.8985374771480804, 0.9001828153564899, 0.8193784277879342, 0.8992687385740402, 0.843144424131627, 0.7731261425959781, 0.9480804387568555, 0.8292816669713032, 0.7519649058673004]","[0.8519736842105263, 0.9078947368421053, 0.8519736842105263, 0.819078947368421, 0.8782894736842105, 0.8240131578947368, 0.7615131578947368, 0.9490131578947368, 0.8220757825370676, 0.7512355848434926]","[0.8678493783863954, 0.9132079001186602, 0.8657989253806594, 0.8404800871185415, 0.8899018323083331, 0.8462872859245514, 0.7968433194987592, 0.9497958852815663, 0.8455386237256505, 0.7874525986643505]","[0.9033542473195609, 0.923269432048215, 0.8905146528614915, 0.891170064391528, 0.9146901913875599, 0.9028268914473685, 0.8837989318158751, 0.9527746973875737, 0.9012240680404034, 0.8792230811139088]","[0.8519736842105263, 0.9078947368421053, 0.8519736842105263, 0.819078947368421, 0.8782894736842105, 0.8240131578947368, 0.7615131578947368, 0.9490131578947368, 0.8220757825370676, 0.7512355848434926]",0.05853087179818617,0.836471663619744,0.849276394029747,0.04761044786786864,0.8566745880992298,0.8671894926699059,0.020359321574343763,0.9072532564460898,0.9111212615771953,0.05853087179818617,0.836471663619744,0.849276394029747,0.057681131922506935,0.8379934210526316,0.841706136738056,0.04681114635711037,0.8560431056526054,0.8603155836407467,0.02059536809366326,0.902025479743886,0.9042846257813484,0.057681131922506935,0.8379934210526316,0.841706136738056
Decision Tree 4 FEAT SEL,"[0.9970749542961609, 0.9952468007312614, 0.9963436928702011, 0.9943327239488117, 0.9970749542961609, 0.9963436928702011, 0.9956124314442413, 0.9970749542961609, 0.9954304514713946, 0.99652714311826]","[0.9970781360404951, 0.995258448667281, 0.9963481367608662, 0.9943654562610332, 0.9970813821604296, 0.9963543042881139, 0.9956202335959726, 0.9970787225109969, 0.9954411548978512, 0.9965345230143399]","[0.9970830048806669, 0.9952778904743077, 0.9963555726029762, 0.9944602712906461, 0.9971022566493447, 0.9963772673607829, 0.995640288986956, 0.99710127070724, 0.9954606609774339, 0.9965716945459386]","[0.9970749542961609, 0.9952468007312614, 0.9963436928702011, 0.9943327239488117, 0.9970749542961609, 0.9963436928702011, 0.9956124314442413, 0.9970749542961609, 0.9954304514713946, 0.99652714311826]","[0.9457236842105263, 0.9473684210526315, 0.9407894736842105, 0.9424342105263158, 0.9457236842105263, 0.9605263157894737, 0.9473684210526315, 0.9588815789473685, 0.9555189456342669, 0.9341021416803954]","[0.9451737527784875, 0.9468616153256274, 0.9411999981638268, 0.942593641566275, 0.9464251052323363, 0.9604720936957779, 0.9466373380103711, 0.959172554590527, 0.9553156276349458, 0.934181640694232]","[0.9448986010330944, 0.9479148042195602, 0.9418059520939399, 0.9428690601546235, 0.9473476143761567, 0.9611363636363637, 0.9472103126553908, 0.9600649462102396, 0.955238887656484, 0.935285433903468]","[0.9457236842105263, 0.9473684210526315, 0.9407894736842105, 0.9424342105263158, 0.9457236842105263, 0.9605263157894737, 0.9473684210526315, 0.9588815789473685, 0.9555189456342669, 0.9341021416803954]",0.0008769082824550536,0.9963436928702011,0.9961061799342854,0.0008701344101348353,0.99635122052449,0.996116049819738,0.0008546465858365073,0.9963664199818796,0.9961430178476294,0.0008769082824550536,0.9963436928702011,0.9961061799342854,0.007866948168427269,0.946546052631579,0.9478436876788345,0.007832925796308452,0.9465312216213537,0.9478033367692408,0.007785459537221626,0.9472789635157737,0.9483771975939321,0.007866948168427269,0.946546052631579,0.9478436876788345
Decision Tree 5 FEAT SEL,"[0.9762340036563071, 0.9782449725776965, 0.9782449725776965, 0.9718464351005485, 0.9822669104204753, 0.9755027422303474, 0.9736745886654479, 0.9789762340036563, 0.9661853408883202, 0.962529702065436]","[0.9766241959326614, 0.9785485351556356, 0.9784913816002702, 0.9725708156733841, 0.9824445356905677, 0.975965602114083, 0.9741103367983024, 0.9792910100508336, 0.9669937245297022, 0.9636239037986937]","[0.9773356442716993, 0.9791002113126567, 0.978891742877793, 0.9742830903313073, 0.9827416485279109, 0.9769213707182566, 0.9748696319447742, 0.9799414503703068, 0.9685178802299674, 0.9661138768657109]","[0.9762340036563071, 0.9782449725776965, 0.9782449725776965, 0.9718464351005485, 0.9822669104204753, 0.9755027422303474, 0.9736745886654479, 0.9789762340036563, 0.9661853408883202, 0.962529702065436]","[0.9457236842105263, 0.9424342105263158, 0.9506578947368421, 0.944078947368421, 0.944078947368421, 0.9490131578947368, 0.9342105263157895, 0.9490131578947368, 0.9522240527182867, 0.9192751235584844]","[0.9461532242072248, 0.9430766959474424, 0.9505929709141274, 0.9455354827661753, 0.9451215110032668, 0.9502936774989937, 0.9356319698565582, 0.9492926513688869, 0.9525384657908857, 0.9226475270400956]","[0.9466706384110295, 0.9440632466948256, 0.9517436360509115, 0.9482782032480582, 0.9470779895688438, 0.9521356256752584, 0.9379522769806612, 0.9496819051915658, 0.9530390757824498, 0.9314232340538092]","[0.9457236842105263, 0.9424342105263158, 0.9506578947368421, 0.944078947368421, 0.944078947368421, 0.9490131578947368, 0.9342105263157895, 0.9490131578947368, 0.9522240527182867, 0.9192751235584844]",0.005765416711985535,0.9758683729433273,0.974370590218593,0.005497418450910879,0.9762948990233722,0.9748664041344133,0.004892540701479149,0.9771285074949779,0.9758716547450383,0.005765416711985535,0.9758683729433273,0.974370590218593,0.009306899088164804,0.9449013157894737,0.943070970259256,0.008479229981677498,0.9458443534867,0.9440884176393656,0.006489333534491575,0.947678096408451,0.9462065831657414,0.009306899088164804,0.9449013157894737,0.943070970259256
Decision Tree 6 FEAT SEL,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.944078947368421, 0.9523026315789473, 0.9358552631578947, 0.9588815789473685, 0.9490131578947368, 0.9638157894736842, 0.9473684210526315, 0.9605263157894737, 0.9555189456342669, 0.9373970345963756]","[0.9443913784371075, 0.9519691769962656, 0.9360851550193781, 0.9587375375097513, 0.9491626523096064, 0.9636845931821661, 0.947672639302812, 0.9605263157894737, 0.9551177032959781, 0.9370544062943181]","[0.9451708811528772, 0.9520393509426551, 0.9365415745326181, 0.9587212796072995, 0.9495560866666088, 0.9638821318000885, 0.9480259789258092, 0.9605263157894737, 0.954811804620771, 0.937263162496141]","[0.944078947368421, 0.9523026315789473, 0.9358552631578947, 0.9588815789473685, 0.9490131578947368, 0.9638157894736842, 0.9473684210526315, 0.9605263157894737, 0.9555189456342669, 0.9373970345963756]",0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.009032856632788982,0.950657894736842,0.9504758085493801,0.008951719678882886,0.9505659146529359,0.9504401558136857,0.008794232251289261,0.9507977188046319,0.9506538566534342,0.009032856632788982,0.950657894736842,0.9504758085493801
Decision Tree 7 FEAT SEL,"[0.7427787934186472, 0.8738574040219378, 0.7356489945155393, 0.7725776965265082, 0.6744058500914076, 0.7336380255941499, 0.6978062157221206, 0.7555758683729433, 0.7292999451654176, 0.7051727289343813]","[0.7726478341803441, 0.886146687004426, 0.7645248906311013, 0.7953228180547794, 0.7136692436354787, 0.7652766421009521, 0.7341815275687212, 0.7846068993204803, 0.7631511662934993, 0.741710637200272]","[0.8481768517231625, 0.9141119303887183, 0.840512975649728, 0.8515701422696409, 0.8281208039049921, 0.8437811526953631, 0.8446560007574516, 0.8661049032081798, 0.8535043063499081, 0.8536425669040015]","[0.7427787934186472, 0.8738574040219378, 0.7356489945155393, 0.7725776965265082, 0.6744058500914076, 0.7336380255941499, 0.6978062157221206, 0.7555758683729433, 0.7292999451654176, 0.7051727289343813]","[0.6858552631578947, 0.8240131578947368, 0.6529605263157895, 0.6759868421052632, 0.6200657894736842, 0.6595394736842105, 0.6266447368421053, 0.7006578947368421, 0.6457990115321252, 0.657331136738056]","[0.7230536251595334, 0.8414864809653718, 0.6992742028420553, 0.713994844197062, 0.6736135191225523, 0.7067648057284579, 0.6792790207350454, 0.7407294599957885, 0.6964632964387425, 0.7058422397421374]","[0.7943755107975196, 0.8716573454159355, 0.796139095620807, 0.781168157624867, 0.79393710852223, 0.7993576709927442, 0.8008135115643477, 0.8335530116586741, 0.811748213679983, 0.8056755228259527]","[0.6858552631578947, 0.8240131578947368, 0.6529605263157895, 0.6759868421052632, 0.6200657894736842, 0.6595394736842105, 0.6266447368421053, 0.7006578947368421, 0.6457990115321252, 0.657331136738056]",0.05162952652711811,0.7346435100548446,0.7420761522363054,0.04434203693901833,0.7649007663660268,0.7721238345990054,0.022004042274220023,0.8498734969964017,0.8544181633851146,0.05162952652711811,0.7346435100548446,0.7420761522363054,0.05497961413613739,0.6584353052111332,0.6748853832480706,0.04512770136808212,0.7063035227352976,0.7180501494926748,0.02467371865867502,0.800085591278546,0.8088425148703061,0.05497961413613739,0.6584353052111332,0.6748853832480706
Decision Tree 8 FEAT SEL,"[0.8184643510054844, 0.8146252285191956, 0.6711151736745886, 0.7585009140767824, 0.5709323583180987, 0.7038391224862889, 0.6808043875685558, 0.723400365630713, 0.6940230305245841, 0.7282032535185524]","[0.8346811156526398, 0.8311884818730549, 0.7123712053572173, 0.7905491504413737, 0.6301898704241768, 0.7435584790850208, 0.7224420794281184, 0.7629919236120101, 0.729929373388064, 0.7704443094537703]","[0.8643095742947638, 0.8616472871086239, 0.792977823779317, 0.8586122297540597, 0.8130673689928359, 0.8304108959478997, 0.800478549414466, 0.8564042173846992, 0.8035386323005379, 0.8774939393872812]","[0.8184643510054844, 0.8146252285191956, 0.6711151736745886, 0.7585009140767824, 0.5709323583180987, 0.7038391224862889, 0.6808043875685558, 0.723400365630713, 0.6940230305245841, 0.7282032535185524]","[0.8157894736842105, 0.8042763157894737, 0.6644736842105263, 0.7055921052631579, 0.5674342105263158, 0.6792763157894737, 0.6842105263157895, 0.7401315789473685, 0.6375617792421746, 0.7232289950576606]","[0.8332388253906942, 0.8200247529899787, 0.706457966562776, 0.7441748579486541, 0.6322097842474149, 0.7223454449313127, 0.7216647816164004, 0.7757741169173219, 0.6801602385265265, 0.7668933387825532]","[0.862469421160557, 0.8489819608210504, 0.7805344031852195, 0.8215275029679462, 0.8039954899385897, 0.8119584381977986, 0.7842713313498171, 0.8604280321443056, 0.7631112549727519, 0.8862182252998096]","[0.8157894736842105, 0.8042763157894737, 0.6644736842105263, 0.7055921052631579, 0.5674342105263158, 0.6792763157894737, 0.6842105263157895, 0.7401315789473685, 0.6375617792421746, 0.7232289950576606]",0.06867549606847945,0.7136197440585009,0.7163908185322845,0.057347415342702886,0.7532752013485154,0.7528345988715446,0.029718782361423914,0.8434075566662995,0.8358940518364484,0.06867549606847945,0.7136197440585009,0.7163908185322845,0.07058822944839528,0.6949013157894737,0.702197498482615,0.0583862146789155,0.7332601514399835,0.7402944107913632,0.038731412545905085,0.8167429705828724,0.8223496060037846,0.07058822944839528,0.6949013157894737,0.702197498482615
